fecha,cola_nombre,alertadas,respondidas,manejadas,no_contestadas,salientes,tiempoManejo,EnPlataforma,Ocupado_GestionBackOffice,Disponible,tiempoAlertado,tiempoConversacion_Entrantes,tasa_abandono,ratio_ocupacion,AHT,ASA,ATT
2025-04-30,CMP_COV_BGPURGENCIAS_ESSD8401,33,17,50,16,33,0.1,411.09,0.7,0.05,0.01,0.05,33.86,57.49,0.02,0.0,0.02
2025-04-30,CMP_COV_BGP_ESSD8401,535,497,692,38,195,1.45,416.36,0.87,0.1,0.06,1.18,7.85,78.66,0.03,0.05,0.02
2025-04-30,CMP_MKT_BGPURGENCIAS_ESSD8401,12,12,76,0,64,0.39,492.06,3.97,0.0,0.0,0.11,0.0,98.36,0.03,0.09,0.03
2025-04-30,CMP_MKT_BGP_ESSD8401,1265,1225,1828,40,603,2.4,490.53,4.12,0.04,0.07,1.81,2.15,97.32,0.04,0.08,0.04
2025-05-02,CMP_COV_BGPURGENCIAS_ESSD8401,37,33,50,4,17,0.28,417.84,1.11,0.02,0.01,0.22,10.0,94.32,0.05,0.15,0.04
2025-05-02,CMP_COV_BGP_ESSD8401,316,283,423,33,140,1.48,419.41,1.12,0.15,0.07,1.17,4.27,81.73,0.04,0.06,0.02
2025-05-02,CMP_MKT_BGPURGENCIAS_ESSD8401,2,2,55,0,53,0.86,426.46,3.74,0.0,0.0,0.09,0.0,99.94,0.02,0.07,0.05
2025-05-02,CMP_MKT_BGP_ESSD8401,712,692,1525,20,833,1.94,423.95,3.56,0.02,0.05,1.2,1.4,98.22,0.04,0.06,0.03
2025-05-05,CMP_COV_BGPURGENCIAS_ESSD8401,25,18,55,7,37,0.12,448.27,0.41,0.05,0.0,0.05,25.28,71.08,0.04,0.0,0.03
2025-05-05,CMP_COV_BGP_ESSD8401,779,687,865,92,175,1.89,434.74,0.79,0.13,0.09,1.59,4.91,87.95,0.03,0.05,0.02
2025-05-05,CMP_MKT_BGPURGENCIAS_ESSD8401,14,14,64,0,50,0.47,490.24,5.18,0.0,0.01,0.2,0.0,98.62,0.02,0.06,0.03
2025-05-05,CMP_MKT_BGP_ESSD8401,1548,1473,2081,75,602,2.53,465.99,3.69,0.04,0.08,1.94,5.49,96.0,0.04,0.06,0.03
2025-05-06,CMP_COV_BGPURGENCIAS_ESSD8401,15,10,27,5,17,0.09,423.41,0.43,0.03,0.0,0.03,21.67,60.45,0.03,0.0,0.02
2025-05-06,CMP_COV_BGP_ESSD8401,606,554,692,52,137,1.92,430.52,0.22,0.05,0.09,1.63,3.95,94.63,0.03,0.06,0.02
2025-05-06,CMP_MKT_BGPURGENCIAS_ESSD8401,14,11,27,3,16,0.27,490.86,2.66,0.03,0.01,0.09,15.0,92.69,0.03,0.11,0.01
2025-05-06,CMP_MKT_BGP_ESSD8401,1635,1566,2103,69,533,2.8,468.78,3.73,0.02,0.09,2.19,2.64,99.32,0.04,0.08,0.03
2025-05-07,CMP_COV_BGPURGENCIAS_ESSD8401,36,27,40,9,13,0.13,409.25,0.52,0.04,0.01,0.07,17.1,75.24,0.03,0.17,0.03
2025-05-07,CMP_COV_BGP_ESSD8401,635,557,655,78,98,1.74,400.71,0.8,0.07,0.1,1.53,4.64,81.13,0.03,0.06,0.02
2025-05-07,CMP_MKT_BGPURGENCIAS_ESSD8401,22,19,31,3,12,0.17,529.57,4.88,0.08,0.01,0.11,5.83,76.99,0.04,0.09,0.02
2025-05-07,CMP_MKT_BGP_ESSD8401,1470,1413,1943,57,529,2.55,483.79,4.01,0.03,0.08,1.95,2.54,98.49,0.04,0.07,0.03
2025-05-08,CMP_COV_BGPURGENCIAS_ESSD8401,27,20,28,7,8,0.07,393.27,0.38,0.02,0.01,0.04,11.11,74.04,0.03,0.19,0.02
2025-05-08,CMP_COV_BGP_ESSD8401,684,612,694,72,81,1.63,420.6,0.72,0.1,0.08,1.47,4.8,84.45,0.03,0.06,0.02
2025-05-08,CMP_MKT_BGPURGENCIAS_ESSD8401,6,2,130,4,128,0.52,537.37,6.48,0.03,0.0,0.01,20.0,79.0,0.04,0.0,0.0
2025-05-08,CMP_MKT_BGP_ESSD8401,1340,1256,1685,84,422,2.56,470.5,3.55,0.05,0.08,2.0,10.74,91.37,0.04,0.0,0.03
